0,1.41,0.5,0.03,0.06
0.5,1.44,0.5,0.04,0.08
1,1.48,0.5,0.05,0.1
1.5,1.53,0.5,0.05,0.1
2,1.58,0.5,0.06,0.12
2.5,1.64,0.5,0.06,0.12
3,1.7,0.5,0.05,0.1
3.5,1.75,0.5,0.07,0.14
4,1.82,0.5,0.07,0.14
4.5,1.89,0.5,0.06,0.12
5,1.95,0.5,0.08,0.16
5.5,2.03,0.5,0.09,0.18
6,2.12,0.5,0.09,0.18
6.5,2.21,0.5,0.1,0.2
7,2.31,0.5,0.11,0.22
7.5,2.42,0.5,0.15,0.3
8,2.57,0.2,0.08,0.4
8.2,2.65,0.2,0.07,0.35
8.4,2.72,0.2,0.08,0.4
8.6,2.8,0.2,0.09,0.45
8.8,2.89,0.2,0.09,0.45
9,2.98,0.2,0.16,0.8
9.2,3.14,0.2,0.13,0.65
9.4,3.27,0.1,0.11,1.1
9.5,3.38,0.2,0.33,1.65
9.7,3.71,0.1,0.12,1.2
9.8,3.83,0.05,0.17,3.4
9.85,4,0.05,0.27,5.4
9.9,4.27,0.05,0.53,10.6
9.95,4.8,0.05,1.19,23.8
10,5.99,0.05,1.01,20.2
10.05,7,0.05,0.44,8.8
10.1,7.44,0.05,0.24,4.8
10.15,7.68,0.05,0.18,3.6
10.2,7.86,0.05,0.12,2.4
10.25,7.98,0.05,0.1,2
10.3,8.08,0.1,0.16,1.6
10.4,8.24,0.1,0.13,1.3
10.5,8.37,0.1,0.09,0.9
10.6,8.46,0.2,0.16,0.8
10.8,8.62,0.2,0.17,0.85
11,8.79,0.3,0.16,0.53
11.3,8.95,0.5,0.12,0.24
11.8,9.07,0.2,0.07,0.35
12,9.14,0.5,0.14,0.28
12.5,9.28,0.5,0.11,0.22
13,9.39,0.5,0.11,0.22
13.5,9.5,0.5,0.1,0.2
14,9.6,0.5,0.1,0.2
14.5,9.7,0.5,0.09,0.18
15,9.79,0.5,0.09,0.18
15.5,9.88,0.5,0.12,0.24
16,10,0.5,0.09,0.18
16.5,10.09,1,0.16,0.16
17.5,10.25,1,0.14,0.14
18.5,10.39,0.5,0.13,0.26
19,10.52,0.5,0.15,0.3
19.5,10.67,0.5,0.2,0.4
20,10.87,0.2,0.08,0.4
20.2,10.95,0.2,0.08,0.4
20.4,11.03,0.1,0.04,0.4
20.5,11.07,0.1,0.04,0.4
20.6,11.11,0.1,0.04,0.4
20.7,11.15,0.2,0.08,0.4
20.9,11.23,0.2,0.08,0.4
21.1,11.31,0.2,0.07,0.35
21.3,11.38,0.2,0.06,0.3
21.5,11.44,0.5,0.15,0.3
22,11.59,0.5,0.11,0.22
22.5,11.7,0.5,0.09,0.18
23,11.79,0.5,0.07,0.14
23.5,11.86,0.5,0.1,0.2
24,11.96,0.5,0.04,0.08
24.5,12,0.5,0.06,0.12
25,12.06,,,