0,0,-0.0003,-0.0003,0.0008,0.05,0.003,0.006,0.011,0.005,0.12,0.09,0.04,0.21
0.1,0.0003,0.0003,0.0008,0.0013,0.15,0.015,0.015,0.015,0.026,0.03,0.06,0.16,0.2
0.2,0.0018,0.0018,0.0023,0.0039,0.25,0.018,0.021,0.031,0.046,0.1,0.15,0.13,0.16
0.3,0.0036,0.0039,0.0054,0.0085,0.35,0.028,0.036,0.044,0.062,0.08,0.05,0.12,0.17
0.4,0.0064,0.0075,0.0098,0.0147,0.45,0.036,0.041,0.056,0.079,0.08,0.1,0.11,0.22
0.5,0.01,0.0116,0.0154,0.0226,0.55,0.044,0.051,0.067,0.101,0.07,0.11,0.13,0.12
0.6,0.0144,0.0167,0.0221,0.0327,0.65,0.051,0.062,0.08,0.113,0.09,0.05,0.13,0.23
0.7,0.0195,0.0229,0.0301,0.044,0.75,0.06,0.067,0.093,0.136,0.04,0.13,0.09,0.18
0.8,0.0255,0.0296,0.0394,0.0576,0.85,0.064,0.08,0.102,0.154,0.11,0.07,0.14,0.16
0.9,0.0319,0.0376,0.0496,0.073,0.95,0.075,0.087,0.116,0.17,0.04,0.08,0.1,0.21
1,0.0394,0.0463,0.0612,0.09,1.05,0.079,0.095,0.126,0.191,0.09,0.11,0.16,0.14
1.1,0.0473,0.0558,0.0738,0.1091,1.15,0.088,0.106,0.142,0.205,0.09,0.07,0.07,0.16
1.2,0.0561,0.0664,0.088,0.1296,1.25,0.097,0.113,0.149,0.221,0.06,0.1,0.15,0.21
1.3,0.0658,0.0777,0.1029,0.1517,1.35,0.103,0.123,0.164,0.242,0.1,0.11,0.16,0.15
1.4,0.0761,0.09,0.1193,0.1759,1.45,0.113,0.134,0.18,0.257,0.06,0.05,0.06,0.21
1.5,0.0874,0.1034,0.1373,0.2016,1.55,0.119,0.139,0.186,0.278,0.04,0.13,0.19,0.15
1.6,0.0993,0.1173,0.1559,0.2294,1.65,0.123,0.152,0.205,0.293,0.11,0.07,0.06,0.21
1.7,0.1116,0.1325,0.1764,0.2587,1.75,0.134,0.159,0.211,0.314,0.1,0.08,0.16,0.15
1.8,0.125,0.1484,0.1975,0.2901,1.85,0.144,0.167,0.227,0.329,0.05,0.13,0.12,0.16
1.9,0.1394,0.1651,0.2202,0.323,1.95,0.149,0.18,0.239,0.345,0.06,0.05,0.1,0.2
2,0.1543,0.1831,0.2441,0.3575,2.05,0.155,0.185,0.249,0.365,0.09,0.11,0.16,0.19
2.1,0.1698,0.2016,0.269,0.394,2.15,0.164,0.196,0.265,0.384,0.06,0.07,0.1,0.14
2.2,0.1862,0.2212,0.2955,0.4324,2.25,0.17,0.203,0.275,0.398,0.1,0.11,0.14,0.19
2.3,0.2032,0.2415,0.323,0.4722,2.35,0.18,0.214,0.289,0.417,0.05,0.09,0.09,0.15
2.4,0.2212,0.2629,0.3519,0.5139,2.45,0.185,0.223,0.298,0.432,0.11,0.09,0.13,0.16
2.5,0.2397,0.2852,0.3817,0.5571,2.55,0.196,0.232,0.311,0.448,0.04,0.1,0.11,0.2
2.6,0.2593,0.3084,0.4128,0.6019,2.65,0.2,0.242,0.322,0.468,0.09,0.07,0.12,0.1
2.7,0.2793,0.3326,0.445,0.6487,2.75,0.209,0.249,0.334,0.478,0.07,0.08,0.13,0.18
2.8,0.3002,0.3575,0.4784,0.6965,2.85,0.216,0.257,0.347,0.496,0.07,0.11,0.11,0.16
2.9,0.3218,0.3832,0.5131,0.7461,2.95,0.223,0.268,0.358,0.512,0.09,0.1,0.12,0.13
3,0.3441,0.41,0.5489,0.7973,3.05,0.232,0.278,0.37,0.525,0.07,0.07,0.11,0.15
3.1,0.3673,0.4378,0.5859,0.8498,3.15,0.239,0.285,0.381,0.54,0.08,0.11,0.1,0.13
3.2,0.3912,0.4663,0.624,0.9038,3.25,0.247,0.296,0.391,0.553,0.05,0.05,0.1,
3.3,0.4159,0.4959,0.6631,0.9591,3.35,0.252,0.301,0.401,,0.08,0.1,0.1,
3.4,0.4411,0.526,0.7032,,3.45,0.26,0.311,0.411,,0.1,0.08,0.11,
3.5,0.4671,0.5571,0.7443,,3.55,0.27,0.319,0.422,,0.05,0.1,0.15,
3.6,0.4941,0.589,0.7865,,3.65,0.275,0.329,0.437,,0.08,0.11,0.03,
3.7,0.5216,0.6219,0.8302,,3.75,0.283,0.34,0.44,,0.05,0.04,0.16,
3.8,0.5499,0.6559,0.8742,,3.85,0.288,0.344,0.456,,0.1,0.06,0.06,
3.9,0.5787,0.6903,0.9198,,3.95,0.298,0.35,0.462,,0.06,0.13,,
4,0.6085,0.7253,0.966,,4.05,0.304,0.363,0.314,,0.05,0.05,,
4.1,0.6389,0.7616,0.9974,,4.15,0.309,0.368,,,0.07,0.1,,
4.2,0.6698,0.7984,,,4.25,0.316,0.378,,,0.05,0.07,,
4.3,0.7014,0.8362,,,4.35,0.321,0.385,,,0.09,0.06,,
4.4,0.7335,0.8747,,,4.45,0.33,0.391,,,0.09,0.08,,
4.5,0.7665,0.9138,,,4.55,0.339,0.399,,,0.01,0.07,,
4.6,0.8004,0.9537,,,4.65,0.34,0.406,,,0.07,,,
4.7,0.8344,0.9943,,,4.75,0.347,0.031,,,0.08,,,
4.8,0.8691,0.9974,,,4.85,0.355,,,,0.05,,,
4.9,0.9046,,,,4.95,0.36,,,,,,,
5,0.9406,,,,,,,,,,,,