0,0.0005,0.0005,0.0005,0.0005,0.0005,0.001,0.05,0.01,0.01,0.005,0.005,0.005,0.42,0.37,0.29,0.21,0.13,0.01
0.1,0.0015,0.0015,0.001,0.001,0.001,0.0015,0.15,0.052,0.047,0.034,0.026,0.018,0.33,0.25,0.2,0.13,0.11,0.06
0.2,0.0067,0.0062,0.0044,0.0036,0.0028,0.0021,0.25,0.085,0.072,0.054,0.039,0.029,0.33,0.31,0.26,0.2,0.09,0.07
0.3,0.0152,0.0134,0.0098,0.0075,0.0057,0.0033,0.35,0.118,0.103,0.08,0.059,0.038,0.37,0.31,0.18,0.13,0.11,0.01
0.4,0.027,0.0237,0.0178,0.0134,0.0095,0.0052,0.45,0.155,0.134,0.098,0.072,0.049,0.36,0.23,0.23,0.21,0.1,0.06
0.5,0.0425,0.0371,0.0276,0.0206,0.0144,0.0072,0.55,0.191,0.157,0.121,0.093,0.059,0.35,0.31,0.15,0.12,0.11,0.05
0.6,0.0616,0.0528,0.0397,0.0299,0.0203,0.0098,0.65,0.226,0.188,0.136,0.105,0.07,0.32,0.26,0.24,0.16,0.07,0.05
0.7,0.0842,0.0716,0.0533,0.0404,0.0273,0.0129,0.75,0.258,0.214,0.16,0.121,0.077,0.35,0.28,0.25,0.16,0.13,0.05
0.8,0.11,0.093,0.0693,0.0525,0.035,0.0165,0.85,0.293,0.242,0.185,0.137,0.09,0.32,0.26,0.16,0.17,0.08,0
0.9,0.1393,0.1172,0.0878,0.0662,0.044,0.0206,0.95,0.325,0.268,0.201,0.154,0.098,0.33,0.3,0.31,0.16,0.05,0.06
1,0.1718,0.144,0.1079,0.0816,0.0538,0.0247,1.05,0.358,0.298,0.232,0.17,0.103,0.36,0.32,0.15,0.16,0.11,0.04
1.1,0.2076,0.1738,0.1311,0.0986,0.0641,0.0294,1.15,0.394,0.33,0.247,0.186,0.114,0.33,0.23,0.21,0.2,0.09,0.03
1.2,0.247,0.2068,0.1558,0.1172,0.0755,0.0345,1.25,0.427,0.353,0.268,0.206,0.123,0.34,0.25,0.2,0.1,0.06,0.03
1.3,0.2897,0.2421,0.1826,0.1378,0.0878,0.0399,1.35,0.461,0.378,0.288,0.216,0.129,0.31,0.32,0.24,0.16,0.1,0.05
1.4,0.3358,0.2799,0.2114,0.1594,0.1007,0.0456,1.45,0.492,0.41,0.312,0.232,0.139,0.33,0.25,0.2,0.18,0.1,0.02
1.5,0.385,0.3209,0.2426,0.1826,0.1146,0.0518,1.55,0.525,0.435,0.332,0.25,0.149,0.32,0.23,0.21,0.15,0.11,0.06
1.6,0.4375,0.3644,0.2758,0.2076,0.1295,0.0582,1.65,0.557,0.458,0.353,0.265,0.16,0.33,0.32,0.2,0.16,0.05,0.02
1.7,0.4932,0.4102,0.3111,0.2341,0.1455,0.0652,1.75,0.59,0.49,0.373,0.281,0.165,0.28,0.22,0.21,0.15,0.15,0.05
1.8,0.5522,0.4592,0.3484,0.2622,0.162,0.0724,1.85,0.618,0.512,0.394,0.296,0.18,0.28,0.32,0.18,0.18,0.08,0.05
1.9,0.614,0.5104,0.3878,0.2918,0.18,0.0801,1.95,0.646,0.544,0.412,0.314,0.188,0.34,0.2,0.24,0.16,0.1,0.06
2,0.6786,0.5648,0.429,0.3232,0.1988,0.0883,2.05,0.68,0.564,0.436,0.33,0.198,0.26,0.25,0.17,0.12,0.06,-0.01
2.1,0.7466,0.6212,0.4726,0.3562,0.2186,0.0971,2.15,0.706,0.589,0.453,0.342,0.204,0.27,0.27,0.21,0.19,0.1,0.06
2.2,0.8172,0.6801,0.5179,0.3904,0.239,0.1058,2.25,0.733,0.616,0.474,0.361,0.214,0.27,0.2,0.2,0.15,0.1,0.05
2.3,0.8905,0.7417,0.5653,0.4265,0.2604,0.1151,2.35,0.76,0.636,0.494,0.376,0.224,-4.56,0.26,0.16,0.15,0.1,0.05
2.4,0.9665,0.8053,0.6147,0.4641,0.2828,0.1249,2.45,0.304,0.662,0.51,0.391,0.234,-2.99,0.18,0.26,0.16,0.08,0
2.5,0.9969,0.8715,0.6657,0.5032,0.3062,0.1352,2.55,0.005,0.68,0.536,0.407,0.242,-0.05,-1.01,0.15,0.15,0.08,0.05
2.6,0.9974,0.9395,0.7193,0.5439,0.3304,0.1455,2.65,0,0.579,0.551,0.422,0.25,-0.1,-5.84,0.18,0.14,0.1,0.06
2.7,0.9974,0.9974,0.7744,0.5861,0.3554,0.1563,2.75,-0.01,-0.005,0.569,0.436,0.26,,,,,,
2.8,0.9964,0.9969,0.8313,0.6297,0.3814,0.1677,,,,,,,,,,,,